State.Province,County,GEOID
US-AL,Autauga,1001
US-AL,Baldwin,1003
US-AL,Barbour,1005
US-AL,Bibb,1007
US-AL,Blount,1009
US-AL,Bullock,1011
US-AL,Butler,1013
US-AL,Calhoun,1015
US-AL,Chambers,1017
US-AL,Cherokee,1019
US-AL,Chilton,1021
US-AL,Choctaw,1023
US-AL,Clarke,1025
US-AL,Clay,1027
US-AL,Cleburne,1029
US-AL,Coffee,1031
US-AL,Colbert,1033
US-AL,Conecuh,1035
US-AL,Coosa,1037
US-AL,Covington,1039
US-AL,Crenshaw,1041
US-AL,Cullman,1043
US-AL,Dale,1045
US-AL,Dallas,1047
US-AL,DeKalb,1049
US-AL,Elmore,1051
US-AL,Escambia,1053
US-AL,Etowah,1055
US-AL,Fayette,1057
US-AL,Franklin,1059
US-AL,Geneva,1061
US-AL,Greene,1063
US-AL,Hale,1065
US-AL,Henry,1067
US-AL,Houston,1069
US-AL,Jackson,1071
US-AL,Jefferson,1073
US-AL,Lamar,1075
US-AL,Lauderdale,1077
US-AL,Lawrence,1079
US-AL,Lee,1081
US-AL,Limestone,1083
US-AL,Lowndes,1085
US-AL,Macon,1087
US-AL,Madison,1089
US-AL,Marengo,1091
US-AL,Marion,1093
US-AL,Marshall,1095
US-AL,Mobile,1097
US-AL,Monroe,1099
US-AL,Montgomery,1101
US-AL,Morgan,1103
US-AL,Perry,1105
US-AL,Pickens,1107
US-AL,Pike,1109
US-AL,Randolph,1111
US-AL,Russell,1113
US-AL,Shelby,1117
US-AL,St. Clair,1115
US-AL,Sumter,1119
US-AL,Talladega,1121
US-AL,Tallapoosa,1123
US-AL,Tuscaloosa,1125
US-AL,Walker,1127
US-AL,Washington,1129
US-AL,Wilcox,1131
US-AL,Winston,1133
US-AR,Arkansas,5001
US-AR,Ashley,5003
US-AR,Baxter,5005
US-AR,Benton,5007
US-AR,Boone,5009
US-AR,Bradley,5011
US-AR,Calhoun,5013
US-AR,Carroll,5015
US-AR,Chicot,5017
US-AR,Clark,5019
US-AR,Clay,5021
US-AR,Cleburne,5023
US-AR,Cleveland,5025
US-AR,Columbia,5027
US-AR,Conway,5029
US-AR,Craighead,5031
US-AR,Crawford,5033
US-AR,Crittenden,5035
US-AR,Cross,5037
US-AR,Dallas,5039
US-AR,Desha,5041
US-AR,Drew,5043
US-AR,Faulkner,5045
US-AR,Franklin,5047
US-AR,Fulton,5049
US-AR,Garland,5051
US-AR,Grant,5053
US-AR,Greene,5055
US-AR,Hempstead,5057
US-AR,Hot Spring,5059
US-AR,Howard,5061
US-AR,Independence,5063
US-AR,Izard,5065
US-AR,Jackson,5067
US-AR,Jefferson,5069
US-AR,Johnson,5071
US-AR,Lafayette,5073
US-AR,Lawrence,5075
US-AR,Lee,5077
US-AR,Lincoln,5079
US-AR,Little River,5081
US-AR,Logan,5083
US-AR,Lonoke,5085
US-AR,Madison,5087
US-AR,Marion,5089
US-AR,Miller,5091
US-AR,Mississippi,5093
US-AR,Monroe,5095
US-AR,Montgomery,5097
US-AR,Nevada,5099
US-AR,Newton,5101
US-AR,Ouachita,5103
US-AR,Perry,5105
US-AR,Phillips,5107
US-AR,Pike,5109
US-AR,Poinsett,5111
US-AR,Polk,5113
US-AR,Pope,5115
US-AR,Prairie,5117
US-AR,Pulaski,5119
US-AR,Randolph,5121
US-AR,Saline,5125
US-AR,Scott,5127
US-AR,Searcy,5129
US-AR,Sebastian,5131
US-AR,Sevier,5133
US-AR,Sharp,5135
US-AR,St. Francis,5123
US-AR,Stone,5137
US-AR,Union,5139
US-AR,Van Buren,5141
US-AR,Washington,5143
US-AR,White,5145
US-AR,Woodruff,5147
US-AR,Yell,5149
US-AZ,Apache,4001
