Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S16994712,Cackling Goose,Branta hutchinsii,313,20,US-KS,Pottawatomie,L998135,Rocky Ford SFA (Pottawatomie Co.),39.2391745,-96.5864083,2/15/2014,6:30 PM,eBird - Traveling Count,20,1,0.402,,2,,,,
S16994712,Canada Goose,Branta canadensis,324,500,US-KS,Pottawatomie,L998135,Rocky Ford SFA (Pottawatomie Co.),39.2391745,-96.5864083,2/15/2014,6:30 PM,eBird - Traveling Count,20,1,0.402,,2,,,,
S16994712,Mallard,Anas platyrhynchos,515,50,US-KS,Pottawatomie,L998135,Rocky Ford SFA (Pottawatomie Co.),39.2391745,-96.5864083,2/15/2014,6:30 PM,eBird - Traveling Count,20,1,0.402,,2,,,,
S17014785,Canada Goose,Branta canadensis,324,15,US-KS,Riley,L2647692,Tuttle Tubes and Outlet,39.2491047,-96.5970755,2/16/2014,5:09 PM,eBird - Traveling Count,35,1,0.805,,2,,,,
S17014785,Gadwall,Mareca strepera,478,4,US-KS,Riley,L2647692,Tuttle Tubes and Outlet,39.2491047,-96.5970755,2/16/2014,5:09 PM,eBird - Traveling Count,35,1,0.805,,2,,,,
S17014785,Ring-necked Duck,Aythya collaris,634,2,US-KS,Riley,L2647692,Tuttle Tubes and Outlet,39.2491047,-96.5970755,2/16/2014,5:09 PM,eBird - Traveling Count,35,1,0.805,,2,,,,
S17014785,Lesser Scaup,Aythya affinis,661,8,US-KS,Riley,L2647692,Tuttle Tubes and Outlet,39.2491047,-96.5970755,2/16/2014,5:09 PM,eBird - Traveling Count,35,1,0.805,,2,,,,
S17014785,Common Goldeneye,Bucephala clangula,702,6,US-KS,Riley,L2647692,Tuttle Tubes and Outlet,39.2491047,-96.5970755,2/16/2014,5:09 PM,eBird - Traveling Count,35,1,0.805,,2,,,,
S17014785,Hooded Merganser,Lophodytes cucullatus,712,6,US-KS,Riley,L2647692,Tuttle Tubes and Outlet,39.2491047,-96.5970755,2/16/2014,5:09 PM,eBird - Traveling Count,35,1,0.805,,2,,,,
S17014785,Common Merganser,Mergus merganser,720,7,US-KS,Riley,L2647692,Tuttle Tubes and Outlet,39.2491047,-96.5970755,2/16/2014,5:09 PM,eBird - Traveling Count,35,1,0.805,,2,,,,
